name,positive,negative,favorite
Marble Stone Carve,"a figurine of the character carved from marble stone, very dense and cold, with subtle crystalline grain, consistent material depth, smooth honed surfaces, and solid monolithic mass.",,false
Granite Stone Form,"a figurine of the character shaped from granite, extremely hard and heavy, displaying coarse mineral speckling, uniform thickness, solid structure, and a rough-to-smooth stone surface.",,false
Basalt Rock Body,"a figurine of the character formed from basalt rock, dense and dark, with fine-grained volcanic texture, consistent mass, solid internal structure, and a naturally matte stone exterior.",,false
Borosilicate Glass,"a figurine of the character constructed from borosilicate glass, rigid and translucent, with smooth continuous surfaces, uniform thickness, internal clarity, and a hard glossy material body.",,false
Soda-Lime Glass,"a figurine of the character made from soda-lime glass, dense and smooth, showing even wall thickness, solid transparent mass, crisp edges, and a reflective glassy surface.",,false
Maple Wood Carve,"a figurine of the character carved from solid maple wood, lightweight and stiff, with fine straight grain lines, uniform thickness, smooth sanded surfaces, and a natural fibrous structure.",,false
Walnut Wood Block,"a figurine of the character shaped from walnut wood, dense and rigid, displaying visible grain patterns, consistent material depth, smooth carved surfaces, and a solid organic body.",,false
Bamboo Laminate,"a figurine of the character constructed from laminated bamboo, lightweight and strong, with layered linear grain, uniform thickness, smooth planar surfaces, and a compressed fibrous texture.",,false
Cork Composite Body,"a figurine of the character formed from cork composite, extremely lightweight, with visible granular cell structure, uniform density, soft edges, and a dry porous organic surface.",,false
Paper Pulp Mold,"a figurine of the character molded from compressed paper pulp, lightweight and matte, showing fibrous surface texture, consistent thickness, solid internal form, and an organic composite structure.",,false
Felted Wool Solid,"a figurine of the character constructed from densely felted wool, soft yet firm, with visible fiber matting, uniform density, smooth rounded surfaces, and a compressed textile material body.",,false
Vegetable Leather Form,"a figurine of the character built from thick vegetable-tanned leather, dense and fibrous, with visible grain texture, uniform material thickness, rigid formed surfaces, and an organic layered structure.",,false
Soap Bar Cast,"a figurine of the character formed from solid soap material, smooth and slightly translucent, with uniform density, clean molded surfaces, solid internal mass, and a soft mineral-organic texture.",,false
Ice Solid Body,"a figurine of the character constructed from clear ice, rigid and cold, with smooth frozen surfaces, uniform internal clarity, solid mass, and subtle trapped air inclusions.",,false
Dry Pasta Mass,"a figurine of the character composed entirely of dry pasta shapes, fused into a rigid mass, showing tubular and ridged textures, brittle edges, uniform density, and a matte starchy surface.",,false
Cooked Noodle Fusion,"a figurine of the character formed from cooked noodles, compressed into a cohesive structure, with glossy starch-coated surfaces, tangled strand texture, soft deformation marks, and a dense organic mass.",,false
Translucent Smoke Body,"a figurine of the character made from condensed smoke, forming a semi-solid silhouette with layered vapor density, soft rolling gradients, internal wisps, and a cohesive yet airy volumetric structure.",,false
Colored Slime Form,"a figurine of the character constructed from viscous slime, glossy and gelatinous, with smooth sagging surfaces, uniform thickness, subtle internal bubbles, and a cohesive semi-fluid material body.",,false
Cotton Candy Structure,"a figurine of the character built from cotton candy, extremely fluffy and fibrous, showing spun sugar strands, airy internal voids, uneven density, and a soft matte crystalline texture.",,false
Crystal Sugar Solid,"a figurine of the character formed from crystallized sugar, rigid and brittle, with faceted granular surfaces, sharp angular microstructures, uniform internal mass, and a translucent sparkling body.",,false
Melted Chocolate Block,"a figurine of the character made from solidified chocolate, dense and smooth, with gentle flow ripples, uniform thickness, glossy fatty surface sheen, and a cohesive confectionery structure.",,false
Gummy Candy Mass,"a figurine of the character constructed from gummy candy material, translucent and elastic, with smooth rounded surfaces, uniform gelatin density, internal light diffusion, and a glossy sugary skin.",,false
Chewing Gum Composite,"a figurine of the character formed from compressed chewing gum, rubbery and matte, with stretched fold textures, layered coloration, uniform density, and a cohesive sticky polymer mass.",,false
Bubble Wrap Shell,"a figurine of the character built from bubble wrap, lightweight and flexible, showing repeating air-filled blisters, translucent plastic texture, consistent patterning, and a hollow cushioned structure.",,false
Liquid Mercury Form,"a figurine of the character made from liquid mercury, cohesive and reflective, with perfectly smooth flowing surfaces, mirror-like reflections, uniform silvery density, and a stable metallic fluid mass.",,false
Magnetic Ferrofluid Body,"a figurine of the character constructed from ferrofluid, glossy and black, forming spiked and ridged surface patterns, dense liquid cohesion, sharp fluid peaks, and a dynamic metallic texture.",,false
Living Moss Structure,"a figurine of the character formed from dense moss, soft and fibrous, with clustered leafy texture, uneven organic surface, moisture-darkened coloration, and a thick living plant mass.",,false
Pressed Flower Composite,"a figurine of the character built from pressed flowers and petals, layered into a solid form, showing flattened organic textures, visible veins, uniform compression, and a delicate botanical surface.",,false
Tree Bark Assembly,"a figurine of the character constructed from layered tree bark, rigid and fibrous, with cracked plate textures, uneven thickness, rough edges, and a dry organic exterior surface.",,false
Wet Clay Slurry,"a figurine of the character made from wet clay slurry, dense and malleable, with smooth smeared surfaces, visible moisture sheen, uniform mineral consistency, and a cohesive earthen mass.",,false
Mud and Silt Body,"a figurine of the character formed from compacted mud and silt, heavy and damp, with fine granular texture, subtle cracking, uniform density, and a matte earthy surface.",,false
Packed Snow Form,"a figurine of the character constructed from packed snow, dense and granular, with compressed ice crystals, soft matte surfaces, internal air pockets, and a cold opaque structure.",,false
Clear Ice Crystal,"a figurine of the character built from faceted ice crystal, rigid and translucent, with sharp planar surfaces, internal refraction lines, uniform frozen mass, and a glass-like frozen body.",,false
Molten Lava Shell,"a figurine of the character made from molten lava, semi-solid and glowing, with viscous surface flow patterns, crusted ridges, dense mineral body, and a cohesive volcanic material form.",,false
Charcoal Briquette Mass,"a figurine of the character formed from compressed charcoal, brittle and porous, with fine powder residue, cracked surfaces, uniform density, and a dry matte carbon texture.",,false
Ash Cloud Solid,"a figurine of the character constructed from compacted ash, lightweight and powdery, with soft granular surfaces, subtle layering, uniform gray density, and a fragile particulate structure.",,false
Feather Mat Composite,"a figurine of the character built from densely layered feathers, lightweight and fibrous, with overlapping vane textures, soft edges, uniform compression, and a matte organic surface.",,false
Spider Silk Weave,"a figurine of the character formed from spider silk strands, tightly woven into a solid volume, showing fine filament layering, semi-transparency, uniform tension, and a delicate fibrous structure.",,false
Human Hair Bundle,"a figurine of the character constructed from tightly bound human hair, dense and flexible, with visible strand layering, subtle sheen, uniform packing, and an organic filament texture.",,false
Knitted Yarn Mass,"a figurine of the character built from knitted yarn, soft yet structured, with looping fiber patterns, consistent stitch density, matte textile surface, and a cohesive fabric body.",,false
Melted Candle Wax,"a figurine of the character made from layered candle wax, smooth and semi-translucent, with drip-formed contours, uniform density, subtle striations, and a soft matte surface.",,false
Liquid Glass Gel,"a figurine of the character formed from viscous liquid glass gel, clear and cohesive, with smooth flowing surfaces, internal refraction, uniform thickness, and a glossy transparent body.",,false
Holographic Light Volume,"a figurine of the character constructed from solidified light holograms, volumetric and translucent, with layered luminous planes, internal glow gradients, uniform form, and a non-physical radiant structure.",,false
Neon Energy Plasma,"a figurine of the character made from contained plasma energy, semi-transparent and radiant, with swirling luminous filaments, dense glowing core, and a cohesive energized volumetric body.",,false
Liquid Water Shape,"a figurine of the character formed from suspended liquid water, perfectly cohesive, with smooth flowing contours, internal refraction, uniform clarity, and a stable fluid volume.",,false
Condensed Fog Body,"a figurine of the character constructed from dense fog, semi-opaque and volumetric, with layered mist textures, soft edges, uniform density, and a cohesive atmospheric mass.",,false
Sand Grain Aggregate,"a figurine of the character built from compacted sand grains, granular and dense, with visible particle texture, subtle stratification, uniform compression, and a matte mineral surface.",,false
Glitter Particle Solid,"a figurine of the character formed from densely packed glitter particles, reflective and granular, with multiscale sparkle, uniform density, faceted micro-surfaces, and a cohesive shimmering body.",,false
Confetti Paper Mass,"a figurine of the character constructed from compressed confetti paper, layered and lightweight, with visible cut edges, varied shapes, uniform packing, and a matte fibrous surface.",,false
Plastic Straw Bundle,"a figurine of the character built from bundled plastic straws, rigid and lightweight, showing hollow tubular cross-sections, repeating linear texture, uniform alignment, and a synthetic surface.",,false
Rubber Band Weave,"a figurine of the character formed from interwoven rubber bands, elastic and dense, with layered loop textures, subtle tension deformation, uniform thickness, and a matte polymer body.",,false
Melted Crayon Wax,"a figurine of the character made from melted crayon wax, smooth and opaque, with layered pigment bands, uniform density, gentle flow contours, and a soft waxy surface.",,false
Chalk Dust Solid,"a figurine of the character constructed from compressed chalk dust, matte and powdery, with fine granular texture, uniform density, soft edges, and a dry mineral surface.",,false
Foam Bubble Cluster,"a figurine of the character built from clustered foam bubbles, lightweight and airy, with spherical cell structures, thin reflective membranes, uniform aggregation, and a soft volumetric body.",,false
Jellyfish Gel Mass,"a figurine of the character formed from translucent jellyfish-like gel, soft and cohesive, with smooth elastic surfaces, internal light diffusion, uniform density, and a glossy organic texture.",,false
Honeycomb Wax Lattice,"a figurine of the character constructed from honeycomb wax, rigid yet lightweight, showing repeating hexagonal cavities, uniform thickness, matte surface texture, and a structured organic body.",,false
Lichen Crust Form,"a figurine of the character built from dense lichen crust, brittle and organic, with mottled surface texture, layered growth patterns, uniform coverage, and a dry natural exterior.",,false
Liquid Oil Sculpture,"a figurine of the character made from suspended oil, glossy and viscous, with smooth flowing contours, internal color gradients, uniform cohesion, and a reflective fluid surface.",,false
Stardust Aggregate,"a figurine of the character formed from compacted stardust, fine and granular, with subtle sparkle, uniform cosmic particulate density, smooth outer contour, and a softly luminous surface.",,false
